000090201;ANTIVOM TAB 8MG/TAB BTx50(σε BLISTERS);BETAHISTINE HYDROCHLORIDE;2,58;2,24;;3,64;;;;N;N07CA01;UNI-PHARMA ΚΛΕΩΝ ΤΣΕΤΗΣ ΦΑΡΜΑΚΕΥΤΙΚΑ ΕΡΓΑΣΤΗΡΙΑ ΑΒΕΕ
000090302;ANTIVOM OR.SO.D 8MG/ML FLX30ML;BETAHISTINE HYDROCHLORIDE;2,13;1,85; ;3,00;;;;N;N07CA01;UNI-PHARMA ΚΛΕΩΝ ΤΣΕΤΗΣ ΦΑΡΜΑΚΕΥΤΙΚΑ ΕΡΓΑΣΤΗΡΙΑ ΑΒΕΕ
000090401;ANTIVOM TAB 16MG/TAB ΒΤx50(BLIST 5x10);BETAHISTINE HYDROCHLORIDE;4,24;3,69; ;5,98;;;;N;N07CA01;UNI-PHARMA ΚΛΕΩΝ ΤΣΕΤΗΣ ΦΑΡΜΑΚΕΥΤΙΚΑ ΕΡΓΑΣΤΗΡΙΑ ΑΒΕΕ
000280102;ΑΛΓΚΟΝ  (400+200+50)MG/TAB BTx16(BLIST2x8);"ACETYLSALICYLIC ACID;PARACETAMOL;CAFFEINE";1,52;1,32;;2,19;N;;;;N02BA51;LAVIPHARM AE
000280108;ΑΛΓΚΟΝ  (400+200+50)MG/TAB BTx10(BLIST1x10);"ACETYLSALICYLIC ACID;PARACETAMOL;CAFFEINE";0,68;0,59;;0,98;N;;;;N02BA51;LAVIPHARM AE
000280110;ΑΛΓΚΟΝ  (400+200+50)MG/TAB BLIST x 2 TAB;"ACETYLSALICYLIC ACID;PARACETAMOL;CAFFEINE";0,14;0,12;;0,20;N;;;;N02BA51;LAVIPHARM AE
000280111;ΑΛΓΚΟΝ  (400+200+50)MG/TAB BTx20 (BLIST2x10);"ACETYLSALICYLIC ACID;PARACETAMOL;CAFFEINE";1,39;1,21;;2,00;N;;;;N02BA51;LAVIPHARM AE
000280112;ΑΛΓΚΟΝ  (400+200+50)MG/TAB BTx30 (BLIST3x10);"ACETYLSALICYLIC ACID;PARACETAMOL;CAFFEINE";1,98;1,72;;2,85;N;;;;N02BA51;LAVIPHARM AE
000470101;AKINETON  5MG/1ML AMP BTx5AMPx1ML;BIPERIDEN LACTATE;1,80;1,57; ;2,54;;;;N;N04AA02;DESMA GMBH, GERMANY
000470201;AKINETON  2MG/TAB BTx50 (BLIST 5x10);BIPERIDEN HYDROCHLORIDE;1,69;1,47; ;2,38;;;;N;N04AA02;DESMA GMBH, GERMANY
000470401;AKINETON PR.TAB 4MG/TAB BTx50;BIPERIDEN HYDROCHLORIDE;2,82;2,45; ;3,98;;;;N;N04AA02;DESMA GMBH, GERMANY
000480101;AMINOPHYLLINE/COOPER INJ.SOL 250MG/10ML AMP BTX10AMPX10ML;AMINOPHYLLINE;2,70;2,35; ;3,81;;;;N;R03DA05;ΚΟΠΕΡ Α.Ε.
000790201;BISOLVON  8MG/TAB BTx20 (BLIST 1x20));BROMHEXINE HYDROCHLORIDE;1,79;1,56;;2,57;N;;;;R05CB02;BOEHRINGER INGELHEIM ΕΛΛΑΣ ΑΕ
000790603;BISOLVON  8MG/5ML FL x 250 ML;BROMHEXINE HYDROCHLORIDE;5,11;4,45;;7,35;N;;;;R05CB02;BOEHRINGER INGELHEIM ΕΛΛΑΣ ΑΕ
