240101_1311_46969;46969;Κάλυμμα τραχήλου;240101;1311
240101_1311_35625;35625;Κάλυμμα τροχήλατου ιματισμού;240101;1311
240101_1311_35930;35930;Κάλυμμα υποποδίου, μη-αποστειρωμένο;240101;1311
240101_1311_17715;17715;Κάλυμμα φραγμού ακτίνων laser;240101;1311
240101_1311_17977;17977;Κάλυμμα χειρολαβής;240101;1311
240101_1311_34854;34854;Κάλυμμα, αναρτήρος χειρός, μη αποστειρωμένο;240101;1311
240101_1311_15704;15704;Κάλυμμα, αποφρακτικό <προσδιορίστε>;240101;1311
240101_1311_43970;43970;Κάλυμμα, καλωδίου / σύρματος /αισθητήρα/ ακροδέκτη, αποστειρωμένο;240101;1311
240101_1311_15749;15749;Κάλυμμα, κρανιακής οπής;240101;1311
240101_1311_32071;32071;Κάλυμμα, λαβίδας βιοψίας;240101;1311
240101_1311_33536;33536;Κάλυμμα, νάρθηκα/επιδέσμου, αδιάβροχο;240101;1311
240101_1311_14290;14290;Κάλυμμα, ουροδοχείου;240101;1311
240101_1311_36272;36272;Κάλυμμα, προσκέφαλου, προστατευτικό, επαναχρησιμοποιήσιμο;240101;1311
240101_1311_45543;45543;Καλύπτρα χορήγησης οξυγόνου, ενηλίκου;240101;1311
240101_1311_32193;32193;Καλύπτρα χορήγησης οξυγόνου, παιδιατρική;240101;1311
240101_1311_34000;34000;Καλυπτρίδα σκληρού χιτώνα;240101;1311
240101_1311_46822;46822;Καλώδιο ανίχνευσης διοξειδίου του άνθρακα;240101;1311
240101_1311_46429;46429;Καλώδιο ηλεκτρικής σύνδεσης καθετήρα, επανεπεξεργασμένο;240101;1311
240101_1311_46430;46430;Καλώδιο ηλεκτρικής σύνδεσης καθετήρα, μίας χρήσης;240101;1311
240101_1311_47250;47250;Καλώδιο συστήματος εκτομής καρδιακού ιστού, μίας χρήσης;240101;1311
240101_1311_38478;38478;Θήλαστρο, τροφοδοτούμενο με ηλεκτροφόρο καλώδιο;240101;1311
240101_1311_38477;38477;Θήλαστρο, χειροκίνητο;240101;1311
240101_1311_16761;16761;Θηλή φιάλης σίτισης βρέφους;240101;1311
240101_1311_37312;37312;Θόλος μεταγωγέας, πίεσης, επαναχρησιμοποιήσιμος;240101;1311
240101_1311_37257;37257;Θόλος μεταγωγέας, πίεσης, μιας χρήσης;240101;1311
240101_1311_15962;15962;Ιατρικό διάγραμμα, καταστάσεως ασθενούς;240101;1311
240101_1311_46526;46526;Ιμάντας ελκτικού συστήματος;240101;1311
240101_1311_35709;35709;Ιμάντας ηλεκτροδίου, επαναχρησιμοποιήσιμος;240101;1311
240101_1311_37318;37318;Ιμάντας ηλεκτροδίου, πίεσης, μιας χρήσης;240101;1311
240101_1311_13810;13810;Ιμάντας κλείδας;240101;1311
240101_1311_44892;44892;Ιμάντας συσκευής ανάνηψης;240101;1311
240101_1311_35871;35871;Καθαριστικό  οδοντοστοιχίας;240101;1311
240101_1311_46205;46205;Καθαριστικό δέρματος, εκτεθειμένου σε εκκρίσεις;240101;1311
240101_1311_44736;44736;Καθαριστικό ορθοδοντικής εφαρμογής;240101;1311
240101_1311_44963;44963;Καθαριστικό φακού ενδοσκοπίου;240101;1311
240101_1311_33923;33923;Καθετήρας / Βαλβίδα, έγχυσης / ένεσης , εμφυτεύσιμο;240101;1311
240101_1311_34915;34915;Καθετήρας / διαστολέας, οισοφαγικός με μπαλόνι;240101;1311
240101_1311_46353;46353;Καθετήρας αγγειογραφίας, επανεπεξεργασμένος;240101;1311
240101_1311_17183;17183;Καθετήρας αγγειοπλαστικής, <προσδιορίστε>;240101;1311
240101_1311_44088;44088;Καθετήρας αγγειοπλαστικής, διαστολής, στεφανιαίος, με εξαρτήματα κοπής/;240101;1311
240101_1311_35445;35445;Καθετήρας αιμοκάθαρσης, <προσδιορίστε>;240101;1311
240101_1311_37278;37278;Καθετήρας αιμοκάθαρσης, εμφυτεύσιμος;240101;1311
240101_1311_46979;46979;Καθετήρας αιμοκάθαρσης, μη εμφυτεύσιμος;240101;1311
240101_1311_47070;47070;Καθετήρας αναρρόφησης, τραχήλου της μήτρας;240101;1311
240101_1311_45712;45712;Καθετήρας γαστρεντερικός με μπαλόνι;240101;1311
240101_1311_47339;47339;Καθετήρας διαπότισης οργάνων δωρητή;240101;1311
240101_1311_46831;46831;Καθετήρας εισαγωγής βελόνας, <προσδιορίστε>;240101;1311
240101_1311_32330;32330;Καθετήρας έκπλυσης, πολλαπλών αυλών;240101;1311
240101_1311_41605;41605;Καθετήρας εκπομπής φωτός ουρητηρικός, επαναχρησιμοποιήσιμος;240101;1311
240101_1311_46719;46719;Καθετήρας ενδαγγειακής διάνοιξης αμβλύς - μικροτεμαχισμού;240101;1311
240101_1311_45188;45188;Καθετήρας ενδαγγειακού συστήματος επανασχηματισμού δίαυλου;240101;1311
240101_1311_46715;46715;Καθετήρας ενδοθεραπείας με μπαλλονάκι αφείρεσης πέτρας;240101;1311
240101_1311_16431;16431;Καθετήρας ενδομητρικός, παρακολούθησης πίεσης κατά τον τοκετό;240101;1311
240101_1311_44137;44137;Καθετήρας ενδομήτριος, <προσδιορίστε>;240101;1311
240101_1311_42912;42912;Καθετήρας ενδομητρίου, υπερηχοϋστερογραφικός / ενδομητρίου, βιοψίας;240101;1311
240101_1311_42451;42451;Καθετήρας Ευσταχιανής σάλπιγγας, επαναχρησιμοποιήσιμος;240101;1311
240101_1311_34913;34913;Καθετήρας καρδιακός με μπαλόνι, <προσδιορίστε>;240101;1311
240101_1311_10698;10698;Καθετήρας καρδιακός, <προσδιορίστε>;240101;1311
240101_1311_42417;42417;Καθετήρας καρδιακός, με μπαλόνι, διαστασιολογικός;240101;1311
240101_1311_47157;47157;Καθετήρας με μπαλόνι νευρικού  ιστού;240101;1311
240101_1311_35795;35795;Καθετήρας μεταφοράς αναισθησίας;240101;1311
240101_1311_46631;46631;Καθετήρας μεταφοράς αναισθησίας, αντιμικροβιακός;240101;1311
240101_1311_18673;18673;Καθετήρας μέτρησης ροής αίματος, με Doppler;240101;1311
240101_1311_15023;15023;Καθετήρας μηριαίας αρτηρίας/φλέβας;240101;1311
240101_1311_44643;44643;Φιάλη αποστειρωμένου διαλύματος, μίας χρήσης;240101;1311
240101_1311_16529;16529;Φιάλη για χορήγηση φαρμακευτικού σκευάσματος σε μορφή αερολύματος;240101;1311
240101_1311_12042;12042;Φιάλη θέρμανσης/ ψύξης;240101;1311
240101_1311_40504;40504;Φιάλη συλλογής ούρων, ανδρών, επαναχρησιμοποιήσιμη;240101;1311
240101_1311_40955;40955;Φιάλη συλλογής ούρων, ανδρών, μιας χρήσης;240101;1311
1205_9745_31704;31704;Μαγνήτης ελέγχου καρδιακής παλμογεννήτριας;1205;9745
1205_9745_17823;17823;Μέσο βαθμονόμησης πιπέττας.;1205;9745
1205_9745_13008;13008;Ομοίωμα, <προσδιορίστε>;1205;9745
250121_1359_30538;30538;Μέσο βαθμονόμησης για το διαγνωστικό σύνολο ολικού αίματος.;250121;1359
250121_1359_42137;42137;Μέσο βαθμονόμησης για το διαγνωστικό σύνολο ολικών  αντισωμάτων κατά του ιού της ερυθράς;250121;1359
250121_1359_42005;42005;Μέσο βαθμονόμησης για το διαγνωστικό σύνολο ολικών αντισωμάτων κατά του αντιγόνου  e του ιού της ηπα;250121;1359
250121_1359_41997;41997;Μέσο βαθμονόμησης για το διαγνωστικό σύνολο ολικών αντισωμάτων κατά του αντιγόνου επιφανείας  του ιο;250121;1359
250121_1359_42169;42169;Μέσο βαθμονόμησης για το διαγνωστικό σύνολο ολικών αντισωμάτων κατά του τοξοπλάσματος;250121;1359
250121_1359_45782;45782;Μέσο βαθμονόμησης για το διαγνωστικό σύνολο όξινης φωσφατάσης;250121;1359
250121_1359_42228;42228;Μέσο βαθμονόμησης για το διαγνωστικό σύνολο οξυτοκίνης.;250121;1359
250121_1359_42187;42187;Μέσο βαθμονόμησης για το διαγνωστικό σύνολο οστεοκαλσίνης;250121;1359
